Reference,Year,peer review,search,Location,USA,Global Region,Method,"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Montreal",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Quebec City",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Quebec City",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Quebec City",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Quebec City",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Quebec City",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Levesque et al.,2000,yes,review,"Canada, Quebec City",no,North America,"Standard AHPA Method, Membrain Filter",Conventional,NA,NA,,NA,,Avian,,,,Ring-billed gull,Larus delawarensis
Lowenstein et al.,2020,yes,Web of Science,"Ecuador, Yaruqui, Quito",no,South America,"PCR (hippuricase and aspartokinase genes), culture",Molecular,NA,NA,,NA,,Mammal,,,,Cat,
"Medley, S. E.",2019,thesis,Google Scholar,"Botswana, Chobe River",no,Africa,PCR (16S rRNA C412F/C1228R 816 bp),Molecular,NA,NA,,NA,,Mammal,,,,Banded mongooses,Mungos mungo
Moore et al.,2002,yes,review,"Northern Ireland, Newcastle, Portavogie, Kikeel, County Down",no,Europe,"Microscope, biochemical, culture broth (enrich) and plate",Conventional,NA,NA,,1g,,Avian,,,Gull,,Larus spp.
Moriarty et al.,2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"MPN Culture Test tube, PCR Isolates",Conventional,NA,35 samples above MDL,,1-25 g,,Avian,,,,Black swan,
Moriarty et al.,2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"MPN Culture Test tube, PCR Isolates",Conventional,NA,35 samples above MDL,,1-25 g,,Avian,,,,Canada goose,
Moriarty et al.,2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"MPN Culture Test tube, PCR Isolates",Conventional,NA,35 samples above MDL,,1-25 g,,Avian,,Duck,,,
Moriarty et al.,2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"MPN Culture Test tube, PCR Isolates",Conventional,NA,35 samples above MDL,,1-25 g,,Avian,,Gull,,,
Moser et al.,2001,yes,review,"Germany, 2 Veterninary Hospital",no,Europe,culture plate,Conventional,NA,NA,,NA,,Mammal,,,,Cat,
Navarro et al.,2019,yes,Google Scholar,"Spain, Marismas de Odiel",no,Europe,PCR,Molecular,NA,NA,,swab variable,,Avian,,,,Yellow legged gull,Larus michahellis
Obiri-Danso and Jones,1999,yes,review,"UK, England, River Lune",no,Europe,"MPN, Biochemcial, Membraine Filtration, Standard Method",Conventional,NA,NA,,NA,,Avian,,,,Mallard,Anus plutyrhinrhn
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Mammal,,,,Cat,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,,,Swan,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Ogden et al.,2009,yes,Google Scholar,"UK, Scotland",no,Europe,"microscope, agglutination, culture broth and plate.",Conventional,NA,NA,,NA,,Avian,,Gull,,,
Palmgren et al.,2004,yes,review,Sweden,no,Europe,"culture broth and plate, PCR (SmaI, KpnI)",Conventional,NA,NA,,NA,,Avian,,,,Peregrine falcons,Falco peregrinus
Plaza-Rodriguez et al.,2021,yes ,Google Scholar,Germany,no,Europe,Standard emthods (ISO 10272-1:2006),Conventional,NA,NA,,NA,,Avian,,Duck,,,
Queen et al.,2012,yes,review,"USA, California, Northern California, Davis Vetrinary Hospital",yes,North America,"PCR (lpxA, AL111168, AY531496, AY531481,,AY531470, AY628395), Biochemical Test, flotation, Culture",Molecular,NA,NA,,1g,,Mammal,,,,Cat,
Quessy and Messier,1992,yes,review,"Canada, Garbage Dump 80 km SE Montreal",no,North America,"Stain, culture",Conventional,NA,NA,,swab variable,,Avian,,,,Ring-billed gull,Larus delawarensis
Quessy and Messier,1992,yes,review,"Canada, Montreal, Ile de la Couvee",no,North America,"Stain, culture",Conventional,NA,NA,,swab variable,,Avian,,,,Ring-billed gull,Larus delawarensis
Quessy and Messier,1992,yes,review,"Canada, Montreal, Ile St-Ours",no,North America,"Stain, culture",Conventional,NA,NA,,swab variable,,Avian,,,,Ring-billed gull,Larus delawarensis
Quessy and Messier,1992,yes,review,"Canada, Montreal, St. Lawerence River",no,North America,"Stain, culture",Conventional,NA,NA,,swab variable,,Avian,,,,Ring-billed gull,Larus delawarensis
Quessy and Messier,1992,yes,review,"Canada, Shoreline 50 km E Montreal",no,North America,"Stain, culture",Conventional,NA,NA,,swab variable,,Avian,,,,Ring-billed gull,Larus delawarensis
Rutledge et al.,2013,yes,Google Scholar,"USA, North Carolina, Greensboro",yes,North America,"PCR (flaAF/flaAR), culture plate",Molecular,NA,NA,,0.1g ,,Avian,,,,Canada goose,Branta canadensis
Sandberg et al.,2002,yes,review,"Norway, small animal clinics",no,Europe,"microscope, plate culture",Conventional,NA,NA,,NA,,Mammal,,,,Cat,
Sandberg et al.,2002,yes,review,"Norway, small animal clinics",no,Europe,"microscope, plate culture",Conventional,NA,NA,,NA,,Mammal,,,,Cat,
Sen et al. ,2018,yes,Web of Science,"USA, Washington",yes,North America,"qPCR (CampF2/CampR2/CampP2 (probe)), plate culture isolates",Molecular,NA,NA,,~0.25 mg,,Avian,,,,American crow,Corvus brachyrhynchos
Sen et al. ,2018,yes,Web of Science,"India, Kulkata",no,South-East Asia,"qPCR (CampF2/CampR2/CampP2 (probe)), plate culture isolates",Molecular,NA,NA,,~0.25 mg,,Avian,,,,House crow,Corvus splendens
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,American goldfinch,Spinus tristis
Sippy et al.,2012,yes,Google Scholar,"USA, Iowa, centra, farms",yes,North America,"PCR (16S rRNA 816 bp 854 bp variable, mapA 417 bp, tetO 559 bp, cjsa0191 1920 bp, pTet0048 3438 bp, gyrA 219 bp) culture broth and plate",Molecular,NA,NA,,swab variable,,Avian,,,,American robin,Turdus migratorius
