"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name","X","Free.captive","Pathogen1"
"Villeneuve et al.",2015,"yes","Google Scholar","Canada, Animal Shelters","no","North America","microscope, flotation","Conventional",NA,NA,"",NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat","","","shelter","Giardia"
"Cox et al.",2005,"yes","Web of Science","Australia, Sydney Watershed","no","Western Pacific"," microscope count","Conventional","3",NA,"","0.5g","Animal","Mammal","Carnivora","Felidae","Felis","Cat","Felis catus","","free","Giardia"
"Cox et al.",2005,"yes","Web of Science","Australia, Sydney Watershed","no","Western Pacific"," microscope count","Conventional","3",NA,"","0.5g","Animal","Mammal","Carnivora","Felidae","Felis","Cat","Felis catus","","free","Giardia"
"Oates et al. ",2012,"yes","Web of Science","USA, Monteray Bay, California","yes","North America","Microscope (Direct immunofluorescent antibody microscopy), separate, centrifuge, PCR (GDHeF, GDHiR, 432 bp, G7, G759, 171 bp)","Conventional","0.2",NA,"oocyst/g","5g","Animal","Mammal","Carnivora","Felidae","Felis","Cat","Felis silvestris catus","","free","Giardia"
"Oates et al. ",2012,"yes","Web of Science","USA, Monteray Bay, California","yes","North America","Microscope (Direct immunofluorescent antibody microscopy), separate, centrifuge, PCR (GDHeF, GDHiR, 432 bp, G7, G759, 171 bp)","Conventional","0.2",NA,"oocyst/g","5g",NA,"Mammal","","Cat","","","Puma concolor, Lynx rufus","Wild felids (mountain lions, bobcats)","free","Giardia"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g",NA,"Bird","Charadriiformes","","","","","Killdeer and willet ","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Podicipediformes","Podicipedidae","Aechmophorus","Clark's grebe","","","free","Giardia spp"
"Cox et al.",2005,"yes","Web of Science","Australia, Sydney Watershed","no","Western Pacific"," microscope count","Conventional","3",NA,"","0.5g","Animal","Mammal","Diprotodontia","Phalangeridae","Trichosurus","Common brushtail possum","Trichosurus vulpecula","","free","Giardia"
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Accipitriformes","Accipitridae","Buteo","Common buzzard","Buteo buteo","","free","Giardia ssp."
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g",NA,"Bird","","","","Common coot","Fulica atra","","free","Giardia ssp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Falconiformes","Falconidae","Falco","Common kestrel","Falco tinninculus","","free","Giardia spp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Charadriiformes","Alcidae","Uria","Common murre","","","free","Giardia spp"
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g",NA,"Bird","","","","Common phaesant","Phasianus colchicus","","free","Giardia ssp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Anseriformes","Anatidae","Tadorna","Common shelduck","Tadorna tadorna","","free","Giardia spp."
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Anseriformes","Anatidae","Tadorna","Common shelduck","Tadorna tadorna","","free","Giardia ssp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Columbiformes","Columbinae","Columba","Common wood pigeon","Columba palumbus","","free","Giardia spp."
"Kilonzo et al.",2013,"yes","Web of Science","USA, Central Coast, CA","yes","North America","Microscope, immunofluorescence antibody","Conventional",NA,NA,"","0.025-0.1g/rodent",NA,"Mammal","","Cricetidae","","","Cricetidae (including  Peromyscus boylii, Peromyscus manicultus, Reithrodontomys megalotis, Microtus californicus, Peromyscus californicus, and Neotoma fuscipes)","","free","Giardia"
"Kilonzo et al.",2013,"yes","Web of Science","USA, Central Coast, CA","yes","North America","Microscope, immunofluorescence antibody","Conventional",NA,NA,"","0.025-0.1g/rodent","Animal","Mammal","Rodentia","Cricetidae","Peromyscus","Deer mouse","Peromyscus manicultus","","free","Giardia"
"Kilonzo et al.",2017,"yes","Google Scholar","USA, California, Monterey and San Benito County","yes","North America","Microscope, Direct Immunofluorescent","Conventional",NA,NA,"","proportional to weigh of feces pellet","Animal","Mammal","Rodentia","Cricetidae","Peromyscus","Deer mouse","Peromyscus manicultus","","free","Giardia spp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g",NA,"Bird","","Duck","","","","Scaup and scoter ","free","Giardia spp"
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Gruiformes","Rallidae","Fulica","Eurasian coot","Fulica atra","","free","Giardia spp."
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Charadriiformes","Haematopodidae","Haematopus","Eurasian oystercatcher","Haematopus ostralegus","","free","Giardia ssp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Accipitriformes","Accipitridae","Accipiter","Eurasian sparrowhawk","Accipiter nisus","","free","Giardia spp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Anseriformes","Anatidae","Anas","Eurasian teal","Anas crecca","","free","Giardia spp."
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Anseriformes","Anatidae","Mareca","Eurasian wigeon","Anas penelope","","free","Giardia spp."
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Anseriformes","Anatidae","Mareca","Eurasian wigeon","Anas penelope","","free","Giardia ssp."
"Heitman et al.",2002,"yes","review","Canada, North Saskatchewan River Basin in Alberta","no","North America","microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp","Conventional",NA,NA,"",NA,"Animal","Mammal","Carnivora","Mustelidae","Pekania","Fisher","","","free","Giardia spp."
"Ahmed et al. ",2019,"yes","Web of Science","Australia, South East Queensland ","no","Western Pacific","qPCR","Molecular","1000","half MDL","gene copies/g","200 mg",NA,"Mammal","","","Flying fox","","","Flying fox (genus)","free","Giardia lamblia"
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Anseriformes","Anatidae","Mareca","Gadwall","Anas strepera","","free","Giardia ssp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Charadriiformes","Laridae","Larus","Glaucous-winged gull","","","free","Giardia spp"
"Rzymski et al.",2017,"yes","Google Scholar","Poland, Lake Chrzypsko","no","Europe","Microscope","Conventional",NA,NA,"",NA,"Animal","Bird","Suliformes","Phalacrocoracidae","Phalacrocorax","Great cormorant","Phalacrocorax carbo","","free","Giardia"
"Medema",1999,"thesis","review","Netherlands","no","Europe","Microscope","Conventional","1",NA,"oocyst/g","1 g","Animal","Bird","Suliformes","Phalacrocoracidae","Phalacrocorax","Great cormorant","Phalacrocorax carbo","","free","Giardia ssp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Strigiformes","Strigidae","Bubo","Great horned owl","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g",NA,"Bird","Grebe","","","","","Grebe (order)","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Pelecaniformes","Ardeidae","Butorides","Green heron","","","free","Giardia spp"
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg","Animal","Bird","Pelecaniformes","Ardeidae","Ardea","Grey heron","Ardea cinerea","","free","Giardia spp."
