"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name"
"Hellein et al.",2011,"yes","Google Scholar","USA, Florida, Pensacola","yes","North America","qPCR","Molecular",NA,NA,NA,"0.25-0.3 g","Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Hellein et al.",2011,"yes","Google Scholar","USA, Florida, Pensacola","yes","North America","qPCR","Molecular",NA,NA,NA,"0.25-0.3 g",NA,"Avian","","Gull","","",""
"Hsu et al.",2015,"yes","Google Scholar","USA, Ohio, Columbus, Olentangy River Wetland Research Park","yes","North America","qPCR (CampyF/CampyR/CampyP 287 bp)","Molecular","50 cycles (<21 gene copies/ml)",NA,NA,NA,"Animal","Bird","Anseriformes","Anatidae","Branta","Canada goose","Branta canadensis"
"Kinzleman et al.",2008,"yes","Web of Science","USA, Racine, Wisconsin 2006","yes","North America","Culture and Plate","Conventional",NA,NA,NA,NA,NA,"Avian","","Gull","","",""
"Kinzleman et al.",2008,"yes","Web of Science","USA, Racine, Wisconsin, 2004","yes","North America","Culture and Plate","Conventional","45% recovery",NA,NA,NA,NA,"Avian","","Gull","","",""
"Kinzleman et al.",2008,"yes","Web of Science","USA, Racine, Wisconsin, 2005","yes","North America","Culture and Plate","Conventional",NA,NA,NA,NA,NA,"Avian","","Gull","","",""
"Kinzleman et al.",2008,"yes","Web of Science","USA, Racine, Wisconsin 2005","yes","North America","Culture and Plate, Agglutination tests","Immunologic",NA,NA,NA,NA,NA,"Avian","","Gull","","",""
"Levesque et al.",2000,"yes","review","Canada, Contrecoeur National Wildlife Area ","no","North America","Standard AHPA Method, Membrain Filter","Conventional",NA,NA,NA,NA,"Animal","Bird","Charadriiformes","Laridae","Larus","Ring-billed gull","Larus delawarensis"
"Levesque et al.",2000,"yes","review","Canada, Contrecoeur National Wildlife Area ","no","North America","Standard AHPA Method, Membrain Filter","Conventional",NA,NA,NA,NA,"Animal","Bird","Charadriiformes","Laridae","Larus","Ring-billed gull","Larus delawarensis"
"Levesque et al.",2000,"yes","review","Canada, Contrecoeur National Wildlife Area ","no","North America","Standard AHPA Method, Membrain Filter","Conventional",NA,NA,NA,NA,"Animal","Bird","Charadriiformes","Laridae","Larus","Ring-billed gull","Larus delawarensis"
