"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Curlew sandpiper","Calidris ferruginea"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Dunlin","Calidris alpina"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Prunellidae","Prunella","Dunnock","Prunella modularis"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Dusky warbler","Phylloscopus fuscatus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Sylviidae","Sylvia","Eurasian blackcap","Sylvia atricapilla"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Corvidae","Coloeus","Eurasian jackdaw","Corvus monedula"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Acrocephalidae","Acrocephalus","Eurasian reed warbler","Acrocephalus scirpaceus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Eurasian skylark","Alauda arvensis"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Accipitriformes","Accipitridae","Accipiter","Eurasian sparrowhawk","Accipiter nisus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Anseriformes","Anatidae","Anas","Eurasian teal","Anas crecca"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Passeridae","Passer","Eurasian tree sparrow","Passer montanus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Eurasian treecreeper","Certhia familiaris"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Anseriformes","Anatidae","Mareca","Eurasian wigeon","Anas penelope"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Eurasian woodcock","Scolopax rusticola"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","European goldfinch","Carduelis carduelis"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Piciformes","Picidae","Picus","European green woodpecker","Picus viridis"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Fringillidae","Chloris","European greenfinch","Carduelis chloris"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","European nightjar","Caprimulgus europaeus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Muscicapidae","Ficedula","European pied flycatcher","Ficedula hypoleuca"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Muscicapidae","Erithacus","European robin","Erithacus rubecula"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Fringillidae","Serinus","European serin","Serinus serinus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Sturnidae","Sturnus","European starling","Sturnus vulgaris"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Turdidae","Turdus","Fieldfare","Turdus pilaris"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Goldcrest","Regulus regulus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Suliformes","Phalacrocoracidae","Phalacrocorax","Great cormorant","Phalacrocorax carbo"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Laniidae","Lanius","Great grey shrike","Lanius excubitor"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Great spotted woodpecker","Dendrocopos major"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Paridae","Parus","Great tit","Parus major"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Green sandpiper","Tringa ochropus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Galliformes","Phasianidae","Perdix","Grey partridge","Perdix perdix"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Grey plover","Pluvialis squatarola"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Fringillidae","Coccothraustes","Hawfinch","Coccothraustes coccothraustes"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Passeridae","Passer","House sparrow","Passer domesticus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Acrocephalidae","Hippolais","Icterine warbler","Hippolais icterina"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Jack snipe","Lymnocryptes minimus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Sylviidae","Sylvia","Lesser whitethroat","Sylvia curruca"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Little ringed plover","Charadrius dubius"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Little stint","Calidris minuta"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Strigiformes","Strigidae","Asio","Long-eared owl","Asio otus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Aegithalidae","Aegithalos","Long-tailed tit","Aegithalos caudatus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Acrocephalidae","Acrocephalus","Marsh warbler","Acrocephalus palustris"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Motacillidae","Anthus","Meadow pipit","Anthus pratensis"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Mew gull","Larus canus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Mistle thrush","Turdus viscivorus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Accipitriformes","Accipitridae","Accipiter","Northern goshawk","Accipiter gentilis"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Anseriformes","Anatidae","Anas","Northern pintail","Anas acuta"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Muscicapidae","Oenanthe","Northern wheatear","Oenanthe oenanthe"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Ortolan bunting","Emberiza hortulana"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Pallas's leaf warbler","Phylloscopus proregulus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Fringillidae","Loxia","Red crossbill","Loxia curvirostra"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Charadriiformes","Scolopacidae","Calidris","Red knot","Calidris canutus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Red-backed shrike","Lanius collurio"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Red-breasted flycatcher","Ficedula parva"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Turdidae","Turdus","Redwing","Turdus iliacus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Ring ouzel","Turdus torquatus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Ruddy turnstone","Arenaria interpres"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Ruff","Philomachus pugnax"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Sanderling","Calidris alba"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Acrocephalidae","Acrocephalus","Sedge warbler","Acrocephalus schoenobaenus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Strigiformes","Strigidae","Asio","Short-eared owl","Asio flammeus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Song thrush","Turdus philomelos"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","Spotted flycatcher","Muscicapa striata"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Temminck's stint","Calidris temminckii"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Thrush nightingale","Luscinia luscinia"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Motacillidae","Anthus","Tree pipit","Anthus trivialis"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Anseriformes","Anatidae","Aythya","Tufted duck","Aythya fuligula"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Twite","Carduelis flavirostris"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Gruiformes","Rallidae","Rallus","Water rail","Rallus aquaticus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Motacillidae","Motacilla","Western yellow wagtail","Motacilla flava"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Muscicapidae","Saxicola","Whinchat","Saxicola rubetra"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,NA,"Avian","","","","White wagtail","Motacilla alba"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Phylloscopidae","Phylloscopus","Willow warbler","Phylloscopus trochilus"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Wood sandpiper","Tringa glareola"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"","","","","","Wood warbler","Phylloscopus sibilatrix"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Troglodytidae","Troglodytes","Wren","Troglodytes troglodytes"
"Waldenstrom et al.",2002,"yes","review","Sweden, Oland, Oteby Bird Observatory","no","Europe","PCR, Biochemical, plate culture, outside lab, standard method","Molecular",NA,NA,NA,NA,"Animal","Bird","Passeriformes","Emberizidae","Emberiza","Yellowhammer","Emberiza citrinella"
"Weis et al.",2014,"yes","Google Scholar","USA, California, Yolo County","yes","North America","biochemical, culture broth and plate","Conventional",NA,NA,NA,NA,NA,"Avian","","","","American crow ","Corvus brachyrhyncos"
"Whelan et al.",1988,"yes","review","UK, Scotland, Thurso, garbage tip","no","Europe","standard method, Culture broth/plate","Conventional",NA,NA,NA,NA,"Animal","Bird","Charadriiformes","Laridae","Larus","Herring gull","Larus argentatus"
"Whelan et al.",1988,"yes","review","UK, Scotland, Bishopbriggs, garbage tip","no","Europe","agglutination standard method, Culture broth/plate","Immunologic",NA,NA,NA,NA,"Animal","Bird","Charadriiformes","Laridae","Larus","Herring gull","Larus argentatus"
"Whelan et al.",1988,"yes","review","UK, Scotland, Bowmore Island, garbage tip","no","Europe","agglutination standard method, Culture broth/plate","Immunologic",NA,NA,NA,NA,"Animal","Bird","Charadriiformes","Laridae","Larus","Herring gull","Larus argentatus"
"Wieland et al. ",2005,"yes","review","Switzerland","no","Europe","biochemical, plate culture","Conventional",NA,NA,NA,NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Sen et al. ",2018,"yes","Web of Science","USA, Washington","yes","North America","PCR (flaA-F/flaA-R 1,728bp, Fla242 FU/FLA625RU 383bp), plate culture isolates","Molecular",NA,NA,NA,"swab variable","Animal","Bird","Passeriformes","Corvidae","Corvus","American crow","Corvus brachyrhynchos"
"Sen et al. ",2018,"yes","Web of Science","USA, Washington","yes","North America","PCR (cadFU/cadFR 400 bp), plate culture isolates","Molecular",NA,NA,NA,"swab variable","Animal","Bird","Passeriformes","Corvidae","Corvus","American crow","Corvus brachyrhynchos"
"Sen et al. ",2018,"yes","Web of Science","India, Kulkata","no","South-East Asia","PCR (cadFU/cadFR 400 bp), plate culture isolates","Molecular",NA,NA,NA,"swab variable",NA,"Avian","","","","House crow","Corvus splendens"
"Sen et al. ",2018,"yes","Web of Science","India, Kulkata","no","South-East Asia","PCR (flaA-F/flaA-R 1,728bp, Fla242 FU/FLA625RU 383bp), plate culture isolates","Molecular",NA,NA,NA,"swab variable",NA,"Avian","","","","House crow","Corvus splendens"
"Sen et al. ",2018,"yes","Web of Science","USA, Washington","yes","North America","PCR (LYA-F/MII-R gene cluster), plate culture isolates","Molecular",NA,NA,NA,"swab variable","Animal","Bird","Passeriformes","Corvidae","Corvus","American crow","Corvus brachyrhynchos"
"Sen et al. ",2018,"yes","Web of Science","India, Kulkata","no","South-East Asia","PCR (LYA-F/MII-R gene cluster), plate culture isolates","Molecular",NA,NA,NA,"swab variable",NA,"Avian","","","","House crow","Corvus splendens"
"Acke et al.",2009,"yes","review","Ireland, Dublin","no","Europe","PCR (23S rRNA), culture plate and broth","Molecular",NA,NA,NA,NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Hazeleger et al.",2018,"yes","Google Scholar","Netherlands","no","Europe","PCR (aspA, glnA, gltA, glyA, pgm, uncA, tkt), DNA sequencing, microscope, latex agglutination , plate and broth culture","Molecular","10-100 CFU/swab",NA,NA,">=0.1 g swab","Animal","Mammal","Chiroptera","Vespertilionidae","Myotis","Daubenton's bat","Myotis daubentonii"
"Hellein et al.",2011,"yes","Google Scholar","USA, Florida, Pensacola","yes","North America","qPCR","Molecular",NA,NA,NA,"0.25-0.3 g","Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Hellein et al.",2011,"yes","Google Scholar","USA, Florida, Pensacola","yes","North America","qPCR","Molecular",NA,NA,NA,"0.25-0.3 g",NA,"Avian","","Gull","","",""
"Kapperud and Rosef",1983,"yes","review","Norway, Oslo and rural","no","Europe","Microscope, Plate Culture","Conventional",NA,NA,NA,"swab variable","Animal","Bird","Charadriiformes","Alcidae","Fratercula","Atlantic puffin","Fratercula arctica"
"Kapperud and Rosef",1983,"yes","review","Norway, Oslo and rural","no","Europe","Microscope, Plate Culture","Conventional",NA,NA,NA,"swab variable",NA,"Avian","","","","Common goldeneye","Bucephala clangula"
"Kapperud and Rosef",1983,"yes","review","Norway, Oslo and rural","no","Europe","Microscope, Plate Culture","Conventional",NA,NA,NA,"swab variable","Animal","Bird","Passeriformes","Emberizidae","Emberiza","Common reed bunting","Emberiza schoeniclus"
"Kapperud and Rosef",1983,"yes","review","Norway, Oslo and rural","no","Europe","Microscope, Plate Culture","Conventional",NA,NA,NA,"swab variable","Animal","Bird","Charadriiformes","Laridae","Sterna","Common tern","Sterna hirundo"
"Kapperud and Rosef",1983,"yes","review","Norway, Oslo and rural","no","Europe","Microscope, Plate Culture","Conventional",NA,NA,NA,"swab variable","Animal","Bird","Passeriformes","Corvidae","Corvus","Hooded crow","Corvus corone cornix"
"Kapperud and Rosef",1983,"yes","review","Norway, Oslo and rural","no","Europe","Microscope, Plate Culture","Conventional",NA,NA,NA,"swab variable","Animal","Bird","Columbiformes","Columbidae","Columba","Pigeon","Columba livia"
"Kapperud and Rosef",1983,"yes","review","Norway, Oslo and rural","no","Europe","Microscope, Plate Culture","Conventional",NA,NA,NA,"swab variable","","","","","","Ural owl","Strix uralensis"
"Kapperud and Rosef",1983,"yes","review","Norway, Oslo and rural","no","Europe","Microscope, Plate Culture","Conventional",NA,NA,NA,"swab variable",NA,"Avian","","","Gull","","Larus spp."
"Kinzleman et al.",2008,"yes","Web of Science","USA, Milwaukee, Wisconsin 2004","yes","North America","Culture and Plate, Agglutination tests","Immunologic",NA,NA,NA,NA,NA,"Avian","","Gull","","",""
"Kinzleman et al.",2008,"yes","Web of Science","USA, Racine, Wisconsin 2005","yes","North America","Culture and Plate, Agglutination tests","Immunologic",NA,NA,NA,NA,NA,"Avian","","Gull","","",""
"Kinzleman et al.",2008,"yes","Web of Science","USA, Racine, Wisconsin 2006","yes","North America","Culture and Plate, Agglutination tests","Immunologic",NA,NA,NA,NA,NA,"Avian","","Gull","","",""
"Sandberg et al.",2002,"yes","review","Norway, small animal clinics","no","Europe","microscope, plate culture","Conventional",NA,NA,NA,NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g","Animal","Bird","Gruiformes","Rallidae","Fulica","American coot",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g",NA,"Avian","","","","American crow ",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g","Animal","Bird","Falconiformes","Falconidae","Falco","American kestrel",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g","Animal","Bird","Passeriformes","Turdidae","Turdus","American robin",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g","Animal","Bird","Columbiformes","Columbidae","Patagioenas","Band-tailed pigeon",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g",NA,"Avian","","","","Barn owl ",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g",NA,"Avian","","","","Bird (class)",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g",NA,"Avian","","","","Black-crowned night heron",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g","Animal","Bird","Pelecaniformes","Pelecanidae","Pelecanus","Brown pelican",""
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","PCR, biochemical, cultrure broth and plate","Molecular",NA,NA,NA,"<5 g","Animal","Bird","Anseriformes","Anatidae","Branta","Canada goose",""
