"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name,,Free/captive,Pathogen name original,Pathogen rename,Pathogen,medium,Presence,Enumerated,Enum Stats,Censored Data,Presence/Absence,Total,percent,Individual Sample,Mean,Geometric mean,Standard deviation,Median,Min,Max,95% low,95% high,units,Notes,Notes,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD
Conventional,NA,NA,,NA,Animal,Bird,,,,,,Bird (class),free,Salmonella spp.,Salmonella,Salmonella,Intestines content,yes,no,,,3,5,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,,,Bird (class),free,Salmonella spp.,Salmonella,Salmonella,feces dry/wet droppings,yes,no,,,10,117,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,,,Bird (class),free,Salmonella spp.,Salmonella,Salmonella,"feces, cloacal swab, intestines",yes,no,,,12,124,0.1,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab,Animal,Bird,,,,,,Waterfowl Domestic/Hybrid species,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,10,,,,,,,,,,,"One Salmonellla Java, animal species not specified.",,,,,,,,,,
Conventional,Review,Review,,Review,Animal,Bird,,,,,,Bird (class),free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,2,511,,,,,,,,,,,,from review Tizard 2014,,,,,,,,,
Molecular,NA,NA,,NA,Animal,Bird,,,,,"Dumetella carolinensis, Turdus migratorius, Carduelis tristis, Molothrus ater, Agelaius phoeniceus, Hylocichla mustelina, Picoides pubescens, Passerina cyanea",Bird (class),free,Salmonella enterica enterica,Salmonella enterica subsp. enterica,Salmonella enterica (non-typhoid),cloacal swab or fecal swab,yes,no,,,1,180,,,,,,,,,,,,Positive sample from a red-winged Blackbird,Also tested for West Nile Virus Antibody,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,,,Bird (class),Free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,236,2377,,,,,,,,,,,,,,,,,,,,,
Immunologic,Review,Review,,Review,Animal,Bird,,,,,Buteo jamaicensis,Raptors (red tailed hawk),free,Salmonella,Salmonella,Salmonella,fecal,yes,no,,,2,105,,,,,,,,,,,,Kirkpatrick and Trexler-Myren,1986,,,,,,,,
Immunologic,Review,Review,,Review,Animal,Bird,,,,,Buteo jamaicensis,Raptors (red tailed hawk),free,Salmonella newport,Salmonella enterica subsp. enterica serovar Newport,Salmonella enterica (non-typhoid),fecal,yes,no,,,1,105,,,,,,,,,,,,Kirkpatrick and Trexler-Myren,1986,,,,,,,,
Immunologic,Review,Review,,Review,Animal,Bird,,,,,Buteo jamaicensis,Raptors (red tailed hawk),free,Salmonella enteritidis,Salmonella entericaÿsubsp.ÿentericaÿserovar Enteritidis,Salmonella enterica (non-typhoid),fecal,yes,no,,,1,105,,,,,,,,,,,,Kirkpatrick and Trexler-Myren,1986,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,,,Bird (class),free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),infraorbital sinuses;,yes,no,,,NA,3,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,NA,Animal,Bird,,,,,,Bird (class),free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 12",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,swab,Animal,Bird,,,,,,Bird (class),free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 37",Salmonella enterica (typhoid),cloacal swab,yes,no,,,ND,67,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,<5 g,Animal,Bird,,,,,,Bird (class),free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,2,,,,,,,,,,,,response to oil spill,"(Arizonae III; serogroup B, strain III 53:z4,z23, and Typhimurium; serogroup C1, 6,7:1,5, Thompson, and Ohio; serogroup D, Enteritidis; and serogroup E, Liverpool)",,,,,,,,
Molecular,NA,NA,,NA,Animal,Bird,,,,,,Bird (class),free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,2024,,,,,,,,,,,,,,,,,,,,,
