Reference,Year,peer review,search,Location,USA,Global Region,Method,"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name,,Free/captive,Pathogen1
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,Charadriiformes,,,,,Killdeer and willet ,free,Giardia spp
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Clark's grebe,,,free,Giardia spp
Cox et al.,2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific, microscope count,Conventional,3,NA,,0.5g,,Mammal,,,,Common brushtail possum,Trichosurus vulpecula,,free,Giardia
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Common buzzard,Buteo buteo,,free,Giardia ssp.
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Common coot,Fulica atra,,free,Giardia ssp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Common kestrel,Falco tinninculus,,free,Giardia spp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Common murre,,,free,Giardia spp
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Common phaesant,Phasianus colchicus,,free,Giardia ssp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Common shelduck,Tadorna tadorna,,free,Giardia spp.
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Common shelduck,Tadorna tadorna,,free,Giardia ssp.
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,Common wood pigeon,Columba palumbus,,free,Giardia spp.
